Date,Close,High,Low,Open,Volume,ETF_Name,Ticker
,QCLN,QCLN,QCLN,QCLN,QCLN,,
2024-07-31,36.45382308959961,37.26014880302212,35.85654731495189,35.85654731495189,157000,First_Trust_Clean_Edge_Green,QCLN
2024-08-01,35.000450134277344,36.80223804906053,34.671949589167745,36.42396135698829,152300,First_Trust_Clean_Edge_Green,QCLN
2024-08-02,33.12898254394531,33.89548893396212,32.9099834306456,33.64662337086785,280200,First_Trust_Clean_Edge_Green,QCLN
2024-08-05,32.23306655883789,32.94979674859784,30.809555332914005,30.85932768260212,245300,First_Trust_Clean_Edge_Green,QCLN
2024-08-06,32.22311019897461,32.79052334651138,31.88465290067312,32.6113398475643,174400,First_Trust_Clean_Edge_Green,QCLN
2024-08-07,31.526287078857422,32.98961578889512,31.446650181005577,32.860204643202486,147300,First_Trust_Clean_Edge_Green,QCLN
2024-08-08,32.85025405883789,32.99957491442382,31.695518007453014,31.884654466793027,237500,First_Trust_Clean_Edge_Green,QCLN
2024-08-09,32.4620246887207,32.70093350298346,32.083747969186355,32.70093350298346,73600,First_Trust_Clean_Edge_Green,QCLN
2024-08-12,32.03396987915039,32.44210917802862,31.894605796224134,32.41224653094056,127500,First_Trust_Clean_Edge_Green,QCLN
2024-08-13,33.2086181640625,33.24843756171408,32.203199258987375,32.27288130618425,86700,First_Trust_Clean_Edge_Green,QCLN
2024-08-14,32.531700134277344,33.25838697590601,32.422198701072716,33.23847727919732,103000,First_Trust_Clean_Edge_Green,QCLN
2024-08-15,33.935302734375,34.16425855894589,33.039385336152826,33.039385336152826,112800,First_Trust_Clean_Edge_Green,QCLN
2024-08-16,33.85566711425781,34.104532659576165,33.547076268390654,33.64662096756325,167500,First_Trust_Clean_Edge_Green,QCLN
2024-08-19,34.612220764160156,34.642083414663716,33.815851772507855,33.89548677297964,92100,First_Trust_Clean_Edge_Green,QCLN
2024-08-20,34.06471633911133,34.78144651227237,33.9651678446537,34.532580972208464,97600,First_Trust_Clean_Edge_Green,QCLN
2024-08-21,34.701812744140625,34.78144774514271,34.223991345967384,34.35339869726913,85200,First_Trust_Clean_Edge_Green,QCLN
2024-08-22,33.94526290893555,34.68190668174019,33.8954905534161,34.67195372959122,72400,First_Trust_Clean_Edge_Green,QCLN
2024-08-23,35.67736053466797,35.68731348446046,34.34344121667555,34.34344121667555,116900,First_Trust_Clean_Edge_Green,QCLN
2024-08-26,35.51809310913086,36.19500773768727,35.43845430700088,35.826687771303874,70400,First_Trust_Clean_Edge_Green,QCLN
2024-08-27,35.20949172973633,35.29908346634681,34.75158009701005,35.20949172973633,53400,First_Trust_Clean_Edge_Green,QCLN
2024-08-28,34.53258514404297,35.16968419337854,34.24390396870761,34.98054392975265,75000,First_Trust_Clean_Edge_Green,QCLN
2024-08-29,34.791404724121094,35.528044627164846,34.7018129740334,34.801357675292195,109300,First_Trust_Clean_Edge_Green,QCLN
2024-08-30,35.109954833984375,35.299091298846626,34.67195280080416,35.09004513283247,67700,First_Trust_Clean_Edge_Green,QCLN
2024-09-03,33.26834487915039,34.81131432603477,33.10907107915169,34.69185612799555,124800,First_Trust_Clean_Edge_Green,QCLN
2024-09-04,33.59685134887695,34.054763078110945,32.999575510518454,32.999575510518454,118600,First_Trust_Clean_Edge_Green,QCLN
2024-09-05,33.6068000793457,34.09457819739952,33.37784424348752,33.686438873063345,92700,First_Trust_Clean_Edge_Green,QCLN
2024-09-06,32.32265853881836,33.586895976366236,32.18329443973837,33.537119828934614,119300,First_Trust_Clean_Edge_Green,QCLN
2024-09-09,32.2828369140625,32.86020297007077,32.15342577495905,32.521745696760185,68900,First_Trust_Clean_Edge_Green,QCLN
2024-09-10,32.64120101928711,32.69097336152976,31.83487540436556,32.25297143345365,95300,First_Trust_Clean_Edge_Green,QCLN
2024-09-11,34.41312789916992,34.43303759882683,32.939844301041425,33.32807395088372,119100,First_Trust_Clean_Edge_Green,QCLN
2024-09-12,34.184173583984375,34.49276824644116,33.78598716774254,34.283718289351285,59100,First_Trust_Clean_Edge_Green,QCLN
2024-09-13,34.652042388916016,34.90090795212958,34.4429924298024,34.58236033500719,159200,First_Trust_Clean_Edge_Green,QCLN
2024-09-16,34.56244659423828,34.63212864000193,34.054758778089756,34.46289810215686,70800,First_Trust_Clean_Edge_Green,QCLN
2024-09-17,35.0402717590332,35.47827377946829,34.80135914954954,34.8212688501221,79600,First_Trust_Clean_Edge_Green,QCLN
