date,open,high,low,exchange_rate,volume,dividends,stock splits,base_currency,quote_currency,pair,year,month,monthly_pct_change,yoy_pct_change,quarterly_volatility,annual_volatility,significant_move,ma_12_month,quarter,year_quarter
2017-10-01 00:00:00+01:00,2203.800048828125,2248.0,2194.60009765625,2199.699951171875,0,0.0,0.0,USD,TZS,USD/TZS,2017,10,-0.05452093348712328,3.5542793397744132,5.976995695948621,28.60363695974987,False,2181.4749755859375,4,2017-Q4
2017-11-01 00:00:00+00:00,2201.89990234375,2543.39990234375,2185.60009765625,2197.199951171875,0,0.0,0.0,USD,TZS,USD/TZS,2017,11,-0.11365186414029615,3.573114561963542,1.8876582268825781,21.657047986752012,False,2187.7916463216147,4,2017-Q4
2017-12-01 00:00:00+00:00,2185.300048828125,2243.300048828125,2178.800048828125,2195.10009765625,0,0.0,0.0,USD,TZS,USD/TZS,2017,12,-0.09556952313352074,3.3036942227287813,2.3028256972776355,8.773279254641182,False,2193.6416625976562,4,2017-Q4
2018-01-01 00:00:00+00:00,2195.10009765625,2249.5,2178.199951171875,2244.699951171875,0,0.0,0.0,USD,TZS,USD/TZS,2018,1,2.259571377568781,2.9490025549445242,28.04996985606961,16.33105791422884,False,2199.0,1,2018-Q1
2018-02-01 00:00:00+00:00,2212.89990234375,2257.5,2193.800048828125,2250.0,0,0.0,0.0,USD,TZS,USD/TZS,2018,2,0.23611391025148976,2.833638025594154,30.282655276866507,21.518289567974747,False,2204.1666666666665,1,2018-Q1
2018-03-01 00:00:00+00:00,2216.300048828125,2260.5,2194.10009765625,2253.699951171875,0,0.0,0.0,USD,TZS,USD/TZS,2018,3,0.16444227430556513,2.5434480435813978,4.523644479375328,25.6657131968129,False,2208.824991861979,1,2018-Q1
2018-04-01 00:00:00+01:00,2217.0,2287.300048828125,2210.39990234375,2278.0,0,0.0,0.0,USD,TZS,USD/TZS,2018,4,1.078229105675299,3.6491013463503252,15.210643267810012,32.15537121008582,False,2215.5083211263022,2,2018-Q2
2018-05-01 00:00:00+01:00,2245.60009765625,2287.300048828125,2231.10009765625,2275.699951171875,0,0.0,0.0,USD,TZS,USD/TZS,2018,5,-0.10096790290277102,4.146256439821805,13.415057445901006,34.88681876517128,False,2223.058308919271,2,2018-Q2
2018-06-01 00:00:00+01:00,2236.5,2283.39990234375,2218.800048828125,2269.5,0,0.0,0.0,USD,TZS,USD/TZS,2018,6,-0.2724415039285999,3.7390890274650035,4.396582368638212,35.338627549511536,False,2229.8749796549478,2,2018-Q2
2018-07-01 00:00:00+01:00,2276.300048828125,2280.300048828125,2217.0,2273.800048828125,0,0.0,0.0,USD,TZS,USD/TZS,2018,7,0.1894711975380048,4.140338487115236,3.1764614319924083,34.14603386836375,False,2237.4083251953125,3,2018-Q3
2018-08-01 00:00:00+01:00,2275.89990234375,2284.39990234375,2223.39990234375,2277.0,0,0.0,0.0,USD,TZS,USD/TZS,2018,8,0.14073142330717214,3.003704849834632,3.7634228087955344,34.78097091512,False,2242.941650390625,3,2018-Q3
2018-09-01 00:00:00+01:00,2246.39990234375,2287.5,2232.10009765625,2278.800048828125,0,0.0,0.0,USD,TZS,USD/TZS,2018,9,0.07905352780521735,3.5394679422457553,2.5324514896950268,33.4657066538506,False,2249.4333292643228,3,2018-Q3
2018-10-01 00:00:00+01:00,2235.0,2294.10009765625,2232.800048828125,2285.0,0,0.0,0.0,USD,TZS,USD/TZS,2018,10,0.27207087234630833,3.877803824229842,4.196815664230838,30.902671822534693,False,2256.5416666666665,4,2018-Q4
2018-11-01 00:00:00+00:00,2285.199951171875,2307.10009765625,2251.39990234375,2295.300048828125,0,0.0,0.0,USD,TZS,USD/TZS,2018,11,0.45076800123085015,4.464777891694771,8.334470593018318,26.4292026445819,False,2264.7166748046875,4,2018-Q4
2018-12-01 00:00:00+00:00,2295.300048828125,2306.10009765625,2248.89990234375,2295.39990234375,0,0.0,0.0,USD,TZS,USD/TZS,2018,12,0.0043503469481454005,4.569258813964439,5.975769759980796,16.348993148589138,False,2273.074991861979,4,2018-Q4
2019-01-01 00:00:00+00:00,2294.89990234375,2315.800048828125,2254.699951171875,2310.10009765625,0,0.0,0.0,USD,TZS,USD/TZS,2019,1,0.6404197934089861,2.9135362367799678,8.516133299655714,16.920856616315387,False,2278.5250040690103,1,2019-Q1
2019-02-01 00:00:00+00:00,2279.199951171875,2347.800048828125,2278.699951171875,2335.199951171875,0,0.0,0.0,USD,TZS,USD/TZS,2019,2,1.086526663545473,3.7866644965277807,20.125200932547756,21.19803537265413,False,2285.625,1,2019-Q1
2019-03-01 00:00:00+00:00,2346.800048828125,2365.699951171875,2295.300048828125,2310.199951171875,0,0.0,0.0,USD,TZS,USD/TZS,2019,3,-1.070572136122827,2.5069885621030075,14.462668133452691,19.682993095913535,False,2290.3333333333335,1,2019-Q1
2019-04-01 00:00:00+01:00,2266.800048828125,2320.10009765625,2253.800048828125,2300.300048828125,0,0.0,0.0,USD,TZS,USD/TZS,2019,4,-0.4285301079124393,0.9789310284515018,17.986157872185004,19.464199493576313,False,2292.1916707356772,2,2019-Q2
